idx,Name,Points,Discipline,Gender,Sex
260,KATHERINE CHOONG,237.23,Lead,Female,2
261,YUKA KOBAYASHI,234,Lead,Female,2
262,HELOÏSE DOUMONT,232.23,Lead,Female,2
263,AYA ONOE,227,Lead,Female,2
264,NOLWENN ARC,216.72,Lead,Female,2
265,FUTABA ITO,216,Lead,Female,2
266,LANA SKUSEK,215.97,Lead,Female,2
267,MAGDALENA RÖCK,203.59,Lead,Female,2
268,FANNY GIBERT,202,Lead,Female,2
269,AIKA TAJIMA,192.74,Lead,Female,2
270,DELANEY MILLER,190,Lead,Female,2
271,BROOKE RABOUTOU,189,Lead,Female,2
272,ALEKSANDRA TOTKOVA,168,Lead,Female,2
273,ELISKA ADAMOVSKA,164.76,Lead,Female,2
274,CAMILLE POUGET,164.75,Lead,Female,2
275,CLAUDIA GHISOLFI,158.25,Lead,Female,2
276,VIKTORIIA MESHKOVA,152.6,Lead,Female,2
277,MOMOKO ABE,146,Lead,Female,2
278,KYRA CONDIE,145.4,Lead,Female,2
279,NINA ARTHAUD,143.34,Lead,Female,2
280,YUKI HIROSHIGE,105.15,Lead,Female,2
281,MICHELLE HULLIGER,98.65,Lead,Female,2
282,NETTA FREDMAN,96.73,Lead,Female,2
283,ALIZÉE DUFRAISSE,94,Lead,Female,2
284,JENNY LAVARDA,93.65,Lead,Female,2
285,CLAIRE BUHRFEIND,89.9,Lead,Female,2
286,NIKKI VAN BERGEN,89.57,Lead,Female,2
287,RYU NAKAGAWA,87,Lead,Female,2
288,SHAUNA COXSEY,83,Lead,Female,2
289,NOLWEN BERTHIER,82.12,Lead,Female,2
290,LUCE DOUADY,82,Lead,Female,2
291,KAJSA ROSEN,77.25,Lead,Female,2
292,MOE YOSHIMURA,74.32,Lead,Female,2
293,EVA MARIA HAMMELMÜLLER,72.25,Lead,Female,2
294,TJASA SLEMENSEK,69.35,Lead,Female,2
295,LAN KIM,67.88,Lead,Female,2
296,EVGENIIA MALAMID,63.7,Lead,Female,2
297,STASA GEJO,57.65,Lead,Female,2
298,PETRA KLINGLER,57.6,Lead,Female,2
299,SANDRA LETTNER,54.4,Lead,Female,2
300,URSKA REPUSIC,53.27,Lead,Female,2
301,ELNAZ REKABI,52,Lead,Female,2
302,HANNAH MEUL,46.75,Lead,Female,2
303,ALINA RING,45.5,Lead,Female,2
304,HANNAH SLANEY,44.55,Lead,Female,2
305,REBEKKA STOTZ,43.02,Lead,Female,2
306,ORIANE BERTONE,40.95,Lead,Female,2
307,MIU KURITA,40.45,Lead,Female,2
308,LUCIJA TARKUS,39,Lead,Female,2
309,LAMU RENQING,38.38,Lead,Female,2
310,MARTINA DEMMEL,37.8,Lead,Female,2
311,ANDREA KÜMIN,35.4,Lead,Female,2
312,IVA VEJMOLOVA,34.81,Lead,Female,2
313,CAMILLA MORONI,34.8,Lead,Female,2
314,GIORGIA TESIO,34.25,Lead,Female,2
315,EKATERINA KIPRIIANOVA,30.95,Lead,Female,2
316,KATJA DEBEVEC,28.95,Lead,Female,2
317,BARBARA BACHER,27.55,Lead,Female,2
318,ELENA KRASOVSKAIA,27.2,Lead,Female,2
319,OCEANIA MACKENZIE,25.1,Lead,Female,2
320,SABINA VAN ESSEN,23.5,Lead,Female,2
321,YUZHEN BAIMA,23,Lead,Female,2
322,HONGCHUN XIANG,21,Lead,Female,2
323,ANNA TSYGANOVA,21,Lead,Female,2
324,NIKA POTAPOVA,19.7,Lead,Female,2
325,SEURAN HAN,19.4,Lead,Female,2
326,KÄTHE ATKINS,19.3,Lead,Female,2
327,LYNN VAN DER MEER,19.15,Lead,Female,2
328,HSIU-JU LIN,19,Lead,Female,2
329,VALENTINA AGUADO,18.97,Lead,Female,2
330,TOMONA TAKAO,18.95,Lead,Female,2
331,JIWON BAE,18.5,Lead,Female,2
332,REBEKA KAMIN,18,Lead,Female,2
333,MORIWAKI HONOKA,16,Lead,Female,2
334,CHARLOTTE DURIF,16,Lead,Female,2
335,NATSUKO SHIMIZU,16,Lead,Female,2
336,HUNG YING LEE,15.64,Lead,Female,2
337,ASJA GOLLO,15.25,Lead,Female,2
338,SOL SA,15,Lead,Female,2
339,LAURA STÖCKLER,14.6,Lead,Female,2
340,ALANNAH YIP,14.33,Lead,Female,2
341,MINSEON KIM,13.8,Lead,Female,2
342,ROXANA WIENAND,13.55,Lead,Female,2
343,CELINE CUYPERS,12.5,Lead,Female,2
344,ZHUOMA PUBU,12,Lead,Female,2
345,CLOE COSCOY,12,Lead,Female,2
346,VANDA MICHALKOVA,11.75,Lead,Female,2
347,MIU KAKIZAKI,11,Lead,Female,2
348,IULIIA PANTELEEVA,11,Lead,Female,2
349,JOHANNA HOLFELD,10.6,Lead,Female,2
350,CHLOE CAULIER,10.4,Lead,Female,2
351,FRANZISKA STERRER,9.5,Lead,Female,2
352,GALINA TERENTEVA,9,Lead,Female,2
353,JENNIFER WOOD,8.8,Lead,Female,2
354,ALMA BESTVATER,8.5,Lead,Female,2
355,REBECCA FRANGOS,8.41,Lead,Female,2
356,SARA COPAR,8,Lead,Female,2
357,MATILDA SÖDERLUND,8,Lead,Female,2
358,LÉA MARIGO,7.2,Lead,Female,2
359,MATTEA PÖTZI,7,Lead,Female,2
360,IDA KUPS,7,Lead,Female,2
361,VERONIKA MEKE,6.82,Lead,Female,2
362,GAYEON CHO,6,Lead,Female,2
363,MAËLYS AGRAPART,6,Lead,Female,2
364,ANOUCK JAUBERT,6,Lead,Female,2
365,ZHUOYING CHEN,6,Lead,Female,2
366,JULIA DUFFY,5.9,Lead,Female,2
367,MAYA MADERE,5.37,Lead,Female,2
368,KENZA SLAMTI,5,Lead,Female,2
369,SUNGA SON,5,Lead,Female,2
370,LILLI KIESGEN,5,Lead,Female,2
371,LUIZA EMELEVA,5,Lead,Female,2
372,HANNAH MIDTBOE,5,Lead,Female,2
373,JOANNA NEAME,4.79,Lead,Female,2
374,JOANNE BRINKMANN,4,Lead,Female,2
375,KITTY MORRISON,4,Lead,Female,2
376,HANA KUDO,4,Lead,Female,2
377,ALEX JOHNSON,3.7,Lead,Female,2
378,EMILY PHILLIPS,3.7,Lead,Female,2
379,KATRIN AMANN,3.3,Lead,Female,2
380,CHIARA MARIA CLOSTERMANN,3.25,Lead,Female,2
381,EVGENIYA LAPSHINA,3,Lead,Female,2
382,MARIA DAVIES SANDBU,3,Lead,Female,2
383,EMMA PALMER,3,Lead,Female,2
384,VALERI KREMER,2.7,Lead,Female,2
385,AFRA HÖNIG,2.7,Lead,Female,2
386,LÉA DELACQUIS,2.42,Lead,Female,2
387,CHAUNCEY CARROLL,2,Lead,Female,2
388,ANOUK PIOLA,2,Lead,Female,2
389,ZOÉ EGLI,1.86,Lead,Female,2
390,LUISA FLOHÉ,1.82,Lead,Female,2
391,ANDREA EBNER,1.8,Lead,Female,2
392,MICHAELA SMETANOVA,1.62,Lead,Female,2
393,ANNA BROZEK,1.5,Lead,Female,2
394,SILVIA CASSOL,1.47,Lead,Female,2
395,GABRIELA VRABLIKOVA,1.45,Lead,Female,2
