idx,Country,Points,Year,Discipline
199,GBR,116.8,2021,Lead
200,GER,552.64,2021,Lead
201,HKG,0,2021,Lead
202,HUN,0.7,2021,Lead
203,INA,0,2021,Lead
204,IRI,0,2021,Lead
205,ISR,14.79,2021,Lead
206,ITA,803.57,2021,Lead
207,JPN,1231.95,2021,Lead
208,KAZ,1.55,2021,Lead
209,KOR,80.9,2021,Lead
210,NED,58.95,2021,Lead
211,NOR,4.6,2021,Lead
212,POL,0,2021,Lead
213,RUS,262.47,2021,Lead
214,SLO,1581.5,2021,Lead
215,SRB,0,2021,Lead
216,SUI,339.96,2021,Lead
217,SVK,32,2021,Lead
218,SWE,75,2021,Lead
219,TPE,0,2021,Lead
220,UKR,100.82,2021,Lead
221,USA,917.36,2021,Lead
222,ARG,0,2015,Boulder
223,AUS,91.32,2015,Boulder
224,AUT,571.22,2015,Boulder
225,BEL,60.82,2015,Boulder
226,CAN,307.47,2015,Boulder
227,CHI,0,2015,Boulder
228,CHN,114.94,2015,Boulder
229,CZE,366.5,2015,Boulder
230,DEN,1.5,2015,Boulder
231,ECU,0,2015,Boulder
232,ESP,15,2015,Boulder
233,FIN,0,2015,Boulder
234,FRA,971.39,2015,Boulder
235,GBR,436.67,2015,Boulder
236,GER,592.78,2015,Boulder
237,GUA,0,2015,Boulder
238,HKG,15.48,2015,Boulder
239,HUN,0,2015,Boulder
240,IND,0,2015,Boulder
241,IRI,80,2015,Boulder
242,IRL,0,2015,Boulder
243,ISR,30.74,2015,Boulder
244,ITA,127.85,2015,Boulder
245,JPN,1598.35,2015,Boulder
246,KAZ,22.9,2015,Boulder
247,KOR,514.26,2015,Boulder
248,LAT,9,2015,Boulder
249,LTU,0,2015,Boulder
250,MEX,3.35,2015,Boulder
251,NED,102.23,2015,Boulder
252,NEP,0,2015,Boulder
253,NOR,50,2015,Boulder
254,POL,171.5,2015,Boulder
255,RUS,457.84,2015,Boulder
256,SGP,13.5,2015,Boulder
257,SLO,330.5,2015,Boulder
258,SRB,51,2015,Boulder
259,SUI,294.84,2015,Boulder
260,SVK,0.35,2015,Boulder
261,SWE,0,2015,Boulder
262,THA,10,2015,Boulder
263,TPE,0,2015,Boulder
264,UKR,55,2015,Boulder
265,USA,773,2015,Boulder
266,ARG,0,2016,Boulder
267,AUS,27.35,2016,Boulder
